Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,87.199997,87.889999,86.199997,87.459999,83.890526,2703500
2017-01-04,87.709999,90.459999,87.709999,90.279999,86.595436,2598800
2017-01-05,90.800003,92.330002,90.639999,91.440002,87.708084,2507500
2017-01-06,91.080002,92.629997,90.809998,92.430000,88.657700,1858400
2017-01-09,93.879997,95.000000,92.620003,92.750000,88.964630,2775300
2017-01-10,93.669998,95.470001,93.360001,94.830002,90.959747,3055400
2017-01-11,94.320000,94.760002,92.029999,92.930000,89.137283,2207300
2017-01-12,92.629997,92.800003,90.220001,91.940002,88.187691,1904000
2017-01-13,92.500000,92.500000,90.500000,90.529999,86.835243,1527100
2017-01-17,90.500000,93.199997,89.599998,92.339996,88.571373,2006400
2017-01-18,92.879997,92.879997,91.349998,91.980003,88.226059,1202400
2017-01-19,91.839996,92.349998,90.510002,90.930000,87.218918,1143500
2017-01-20,91.309998,92.209999,90.779999,90.820000,87.113403,955200
2017-01-23,90.889999,93.629997,90.889999,92.639999,88.859116,2322600
2017-01-24,92.870003,94.440002,92.510002,94.029999,90.192390,1775800
2017-01-25,94.599998,97.239998,94.599998,96.419998,92.484840,2865800
2017-01-26,96.000000,99.349998,95.199997,95.500000,91.602394,5216100
2017-01-27,102.000000,104.050003,101.000000,103.080002,98.873039,7967400
2017-01-30,102.720001,104.389999,102.099998,102.550003,98.364670,2483400
2017-01-31,102.150002,102.449997,100.889999,101.430000,97.290390,1827500
2017-02-01,99.559998,100.089996,97.769997,97.860001,93.866074,3025400
2017-02-02,97.330002,98.080002,96.559998,97.379997,93.405670,1698700
2017-02-03,97.680000,98.500000,96.699997,96.919998,92.964455,1888800
2017-02-06,98.250000,99.300003,95.989998,97.019997,93.060364,2828800
2017-02-07,96.870003,97.290001,96.529999,97.010002,93.050774,1903100
2017-02-08,96.980003,97.230003,96.330002,97.180000,93.213837,1061000
2017-02-09,97.559998,99.169998,97.300003,98.879997,94.844452,1764300
2017-02-10,99.029999,100.199997,98.519997,98.900002,95.345772,2314900
2017-02-13,98.879997,99.419998,98.209999,98.970001,95.413254,1621200
2017-02-14,100.510002,100.660004,97.599998,97.680000,94.169601,1866000
2017-02-15,97.440002,100.290001,96.910004,99.790001,96.203781,1924900
2017-02-16,99.589996,99.599998,96.570000,96.720001,93.244110,2813000
2017-02-17,96.209999,96.339996,95.019997,95.910004,92.463211,1988600
2017-02-21,96.199997,96.379997,95.050003,95.970001,92.521057,1551000
2017-02-22,95.889999,95.970001,94.309998,94.750000,91.344902,1975100
2017-02-23,95.160004,95.279999,93.599998,93.839996,90.467590,2079400
2017-02-24,93.250000,94.059998,92.669998,94.010002,90.631500,1935300
2017-02-27,94.440002,96.239998,94.279999,95.510002,92.077583,1694400
2017-02-28,95.220001,97.750000,94.809998,96.150002,92.694595,2094100
2017-03-01,99.900002,103.709999,99.620003,102.709999,99.018845,6088500
2017-03-02,102.669998,102.669998,99.739998,100.150002,96.550842,2754100
2017-03-03,100.019997,101.519997,99.080002,101.040001,97.408844,1782100
2017-03-06,100.779999,101.139999,99.519997,100.370003,96.762939,1206000
2017-03-07,99.779999,100.169998,98.250000,99.459999,95.885635,2462400
2017-03-08,99.379997,100.309998,98.760002,99.230003,95.663902,1204700
2017-03-09,98.820000,99.739998,98.410004,98.989998,95.432533,1081600
2017-03-10,99.169998,100.519997,98.820000,99.550003,95.972404,1485800
2017-03-13,101.949997,104.709999,101.500000,104.300003,100.551697,3453700
2017-03-14,104.199997,105.830002,103.750000,104.699997,100.937325,2777100
2017-03-15,104.820000,104.980003,103.129997,104.750000,100.985527,2129400
2017-03-16,105.000000,108.599998,103.779999,106.169998,102.354492,4710000
2017-03-17,107.269997,110.309998,106.699997,110.190002,106.230034,3913500
2017-03-20,110.000000,113.849998,110.000000,111.639999,107.627914,5013300
2017-03-21,112.989998,113.949997,110.550003,111.750000,107.733963,4163700
2017-03-22,111.860001,113.519997,111.300003,113.349998,109.276466,2473000
2017-03-23,113.290001,114.080002,111.779999,112.320000,108.283478,2302600
2017-03-24,112.750000,113.269997,110.889999,111.919998,107.897842,1666300
2017-03-27,110.809998,115.769997,110.180000,114.650002,110.529747,3487200
2017-03-28,114.980003,116.190002,113.889999,115.180000,111.040695,2148000
2017-03-29,114.870003,115.989998,114.550003,115.489998,111.339561,1213300
2017-03-30,115.290001,115.730003,113.800003,114.300003,110.192314,1685900
2017-03-31,113.339996,114.930000,112.699997,114.610001,110.491196,1979600
2017-04-03,117.820000,119.800003,115.870003,116.339996,112.158989,3477200
2017-04-04,116.000000,116.860001,115.269997,116.739998,112.544617,1668100
2017-04-05,118.269997,119.430000,116.510002,116.680000,112.486801,3103600
2017-04-06,116.180000,118.570000,116.080002,117.849998,113.614746,1953900
2017-04-07,117.769997,117.949997,116.300003,116.830002,112.631393,1582800
2017-04-10,116.300003,117.559998,115.320000,116.180000,112.004761,1293200
2017-04-11,116.410004,116.750000,113.860001,116.230003,112.052971,1934900
2017-04-12,116.629997,117.070000,114.739998,115.389999,111.243149,1654600
