Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,81.589996,82.080002,81.050003,81.320000,81.162109,545700
2017-01-04,81.279999,82.010002,81.230003,81.959999,81.800865,651800
2017-01-05,81.690002,82.230003,81.510002,81.660004,81.501450,394700
2017-01-06,81.519997,82.400002,81.430000,82.379997,82.220047,515900
2017-01-09,82.029999,82.250000,81.550003,81.730003,81.571312,489600
2017-01-10,81.720001,82.330002,81.419998,82.260002,82.100281,594600
2017-01-11,82.059998,82.750000,81.889999,82.750000,82.589333,468600
2017-01-12,82.760002,82.760002,81.629997,82.320000,82.160164,557600
2017-01-13,82.449997,82.709999,82.279999,82.629997,82.469559,350600
2017-01-17,82.449997,82.449997,81.410004,81.550003,81.391663,553300
2017-01-18,81.000000,81.160004,80.209999,81.080002,80.922577,742000
2017-01-19,80.949997,81.480003,80.199997,80.919998,80.762878,609900
2017-01-20,81.269997,81.519997,80.760002,81.360001,81.202034,500400
2017-01-23,81.230003,81.480003,80.849998,81.180000,81.022377,508500
2017-01-24,81.379997,82.209999,81.250000,82.169998,82.010452,466900
2017-01-25,82.500000,83.019997,82.419998,82.690002,82.529449,455000
2017-01-26,82.629997,82.720001,82.250000,82.529999,82.369759,296100
2017-01-27,82.209999,82.790001,82.129997,82.680000,82.519470,362400
2017-01-30,82.629997,82.760002,82.230003,82.739998,82.579346,362200
2017-01-31,83.000000,83.000000,81.949997,82.639999,82.479546,795300
2017-02-01,82.629997,82.919998,81.430000,81.760002,81.601257,544300
2017-02-02,81.529999,82.209999,81.309998,82.150002,81.990494,532100
2017-02-03,82.800003,83.519997,82.680000,83.519997,83.357834,542300
2017-02-06,83.180000,83.320000,82.949997,83.269997,83.108315,362900
2017-02-07,83.269997,83.279999,82.900002,83.010002,82.848831,471200
2017-02-08,82.879997,83.760002,82.809998,83.610001,83.447662,349700
2017-02-09,82.150002,84.110001,82.150002,84.070000,83.906769,572000
2017-02-10,84.279999,84.690002,83.769997,84.519997,84.355888,350600
2017-02-13,84.989998,85.230003,84.629997,84.959999,84.795036,407400
2017-02-14,84.800003,85.099998,84.690002,85.089996,84.924782,448400
2017-02-15,84.139999,84.489998,83.389999,83.769997,83.607346,762600
2017-02-16,84.080002,84.989998,83.529999,84.269997,84.106377,526200
2017-02-17,84.279999,84.900002,84.070000,84.900002,84.735161,645400
2017-02-21,84.800003,85.419998,84.160004,85.190002,85.024597,1201200
2017-02-22,85.440002,87.400002,81.900002,82.230003,82.070343,2245400
2017-02-23,82.470001,83.709999,82.400002,82.839996,82.679153,1144300
2017-02-24,82.930000,84.000000,82.800003,83.949997,83.786995,1052500
2017-02-27,83.620003,83.839996,83.269997,83.790001,83.627312,573300
2017-02-28,83.720001,83.809998,82.779999,82.919998,82.759003,862400
